customer_id,first_name,last_name,age,employment_length_yrs,housing_status,annual_income,employment_sector,created_at
CUST-000001,Michael,Miller,40,0.2,MORTGAGE,"$18,000.00",Healthcare,2022-11-19
CUST-000002,Karen,Moore,47,11.7,RENT,"$73,457.51",Education,2022-08-13
CUST-000003,Joseph,Johnson,69,9.6,RENT,"$40,656.33",Healthcare,2022-01-01
CUST-000004,David,Taylor,25,5.5,RENT,"$45,352.34",Finance,2022-11-03
CUST-000005,Linda,Hernandez,39,4.5,RENT,"$71,904.78",Services,2022-09-18
CUST-000006,Michael,Lopez,61,11.1,RENT,"$81,243.57",Public Sector,2022-01-13
CUST-000007,Charles,Jackson,53,1,OTHER,"$90,386.95",Finance,2022-02-17
CUST-000008,David,Miller,22,0.4,MORTGAGE,"$27,243.75",Manufacturing,2022-11-09
CUST-000009,David,Martin,30,1.4,MORTGAGE,"$100,002.19",Public Sector,2022-10-18
CUST-000010,Patricia,Garcia,46,7.9,MORTGAGE,"$36,697.99",Manufacturing,2022-11-28
CUST-000011,Linda,Smith,48,0.2,MORTGAGE,"$18,000.00",Healthcare,2022-04-04
CUST-000012,John,Taylor,64,4.4,MORTGAGE,"$27,194.77",Retail,2022-09-18
CUST-000013,Mary,Hernandez,33,26.9,MORTGAGE,"$54,666.84",Technology,2022-10-05
CUST-000014,Barbara,Moore,59,9.7,MORTGAGE,"$30,049.25",Public Sector,2022-12-25
CUST-000015,Jennifer,Taylor,47,3.7,RENT,"$46,909.61",Services,2022-07-24
CUST-000016,Mary,Miller,33,0.3,MORTGAGE,"$58,053.85",Education,2022-07-04
CUST-000017,James,Taylor,29,8.9,MORTGAGE,"$44,770.62",Technology,2022-06-24
CUST-000018,Barbara,Martin,34,4.6,OWN,"$38,285.36",Healthcare,2022-11-05
CUST-000019,Barbara,Rodriguez,33,0.6,MORTGAGE,"$26,229.81",Healthcare,2022-03-10
CUST-000020,Thomas,Taylor,29,0.5,MORTGAGE,"$49,561.61",Services,2022-04-14
CUST-000021,Elizabeth,Martin,25,12,RENT,"$18,000.00",Technology,2022-09-03
CUST-000022,Jessica,Davis,37,5.5,MORTGAGE,"$34,787.07",Education,2022-06-10
CUST-000023,Joseph,Taylor,20,8.8,RENT,"$30,825.82",Public Sector,2022-07-19
CUST-000024,Joseph,Miller,33,10.6,RENT,"$43,491.10",Public Sector,2022-08-04
CUST-000025,Charles,Smith,47,4.2,RENT,"$44,061.21",Technology,2022-07-31
CUST-000026,Barbara,Gonzalez,62,3.6,MORTGAGE,"$79,219.55",Manufacturing,2022-01-16
CUST-000027,Karen,Jackson,40,2.8,RENT,"$108,200.22",Finance,2022-11-28
CUST-000028,John,Jackson,45,1.9,RENT,"$28,032.24",Retail,2022-07-24
CUST-000029,Robert,Taylor,68,2.9,OWN,"$132,775.67",Manufacturing,2022-12-31
CUST-000030,Charles,Gonzalez,57,7.4,RENT,"$33,201.56",Public Sector,2022-02-08
CUST-000031,Michael,Thomas,22,4.6,MORTGAGE,"$53,437.25",Finance,2022-03-30
CUST-000032,William,Davis,37,11.2,MORTGAGE,"$63,286.76",Retail,2022-09-13
CUST-000033,Michael,Jackson,57,2.9,RENT,"$166,423.56",Retail,2022-09-11
CUST-000034,Sarah,Moore,61,4.7,MORTGAGE,"$37,378.79",Retail,2022-08-04
CUST-000035,Patricia,Smith,18,5,RENT,"$19,962.90",Healthcare,2022-10-30
CUST-000036,Susan,Wilson,47,4.5,MORTGAGE,"$103,279.04",Services,2022-06-21
CUST-000037,Sarah,Jackson,38,6.1,MORTGAGE,"$32,315.85",Retail,2022-05-17
CUST-000038,William,Anderson,37,1.4,MORTGAGE,"$40,913.11",Education,2022-06-27
CUST-000039,Mary,Moore,23,3.6,MORTGAGE,"$28,032.65",Technology,2022-03-18
CUST-000040,Karen,Johnson,39,0.6,RENT,"$40,972.16",Public Sector,2022-07-07
CUST-000041,Joseph,Taylor,35,2.4,RENT,"$32,202.66",Education,2022-01-15
CUST-000042,Michael,Moore,25,3.3,MORTGAGE,"$68,749.24",Technology,2022-10-19
CUST-000043,Barbara,Garcia,56,5.3,MORTGAGE,"$51,041.58",Manufacturing,2022-11-15
CUST-000044,Linda,Jackson,49,15,OWN,"$34,873.15",Services,2022-11-21
CUST-000045,Joseph,Brown,50,4.6,OWN,"$80,654.99",Manufacturing,2022-08-02
CUST-000046,John,Smith,70,6.8,OWN,"$55,686.80",Technology,2022-07-27
CUST-000047,Susan,Davis,33,3.5,MORTGAGE,"$19,476.73",Education,2022-06-18
CUST-000048,Thomas,Miller,29,5,RENT,"$77,641.06",Technology,2022-11-26
CUST-000049,Patricia,Williams,55,0.4,MORTGAGE,"$53,768.01",Retail,2022-10-07
CUST-000050,Sarah,Martinez,69,1.5,MORTGAGE,"$98,259.40",Healthcare,2022-11-01
CUST-000051,Linda,Martinez,51,2.2,RENT,"$52,154.13",Public Sector,2022-05-26
CUST-000052,Patricia,Jackson,31,3.2,OWN,"$32,996.12",Manufacturing,2022-09-20
CUST-000053,Mary,Wilson,53,0.2,OWN,"$44,260.70",Public Sector,2022-01-04
CUST-000054,Jennifer,Johnson,50,0.8,MORTGAGE,"$73,273.89",Healthcare,2022-03-31
CUST-000055,Elizabeth,Smith,40,1.6,RENT,"$33,343.94",Retail,2022-03-01
CUST-000056,Patricia,Moore,67,17.8,RENT,"$39,334.28",Retail,2022-11-07
CUST-000057,Sarah,Miller,62,2,OWN,"$43,877.45",Manufacturing,2022-01-16
CUST-000058,Barbara,Davis,19,3.3,OWN,"$27,592.91",Manufacturing,2022-08-15
CUST-000059,Mary,Smith,58,1.1,RENT,"$33,585.12",Retail,2022-01-29
CUST-000060,Elizabeth,Williams,38,4.7,RENT,"$53,437.88",Finance,2022-05-31
CUST-000061,Patricia,Davis,19,1.6,OWN,"$89,432.45",Public Sector,2022-09-02
CUST-000062,Susan,Anderson,44,1.2,RENT,"$57,444.44",Services,2022-09-27
CUST-000063,Jessica,Jones,26,3.6,MORTGAGE,"$47,909.51",Healthcare,2022-03-20
CUST-000064,Joseph,Williams,18,0,OTHER,"$32,349.85",Public Sector,2022-10-16
CUST-000065,Linda,Jackson,28,0,RENT,"$84,760.10",Healthcare,2022-06-02
CUST-000066,Susan,Smith,20,1.2,MORTGAGE,"$60,885.65",Finance,2022-10-04
CUST-000067,Linda,Anderson,69,0.2,RENT,"$34,428.33",Services,2022-10-06
CUST-000068,Jessica,Davis,40,0.6,RENT,"$76,827.98",Education,2022-02-26
CUST-000069,Richard,Johnson,43,2.1,OWN,"$64,847.17",Healthcare,2022-07-05
CUST-000070,Sarah,Williams,21,8.1,MORTGAGE,"$32,638.07",Public Sector,2022-04-03
CUST-000071,Joseph,Wilson,35,4.2,OTHER,"$46,597.91",Technology,2022-10-03
CUST-000072,Richard,Wilson,23,3.6,MORTGAGE,"$38,315.65",Services,2022-06-07
CUST-000073,William,Hernandez,52,1.7,RENT,"$182,913.56",Retail,2022-10-02
CUST-000074,Joseph,Thomas,39,13.4,RENT,"$63,951.00",Retail,2022-06-30
CUST-000075,Richard,Brown,60,2.5,RENT,"$53,818.96",Finance,2022-12-25
CUST-000076,James,Martin,32,0.5,RENT,"$62,089.46",Healthcare,2022-03-18
CUST-000077,Michael,Jones,39,4.8,RENT,"$97,692.62",Education,2022-05-31
CUST-000078,William,Wilson,54,0.6,RENT,"$47,019.14",Healthcare,2022-08-26
CUST-000079,James,Thomas,69,2.1,MORTGAGE,"$36,499.19",Retail,2022-10-16
CUST-000080,Barbara,Moore,59,3.5,MORTGAGE,"$74,767.73",Manufacturing,2022-08-19
CUST-000081,Linda,Miller,29,10.4,MORTGAGE,"$44,915.03",Technology,2022-01-18
CUST-000082,David,Martinez,64,3.4,MORTGAGE,"$28,711.48",Services,2022-03-14
CUST-000083,Charles,Miller,66,6.1,RENT,"$26,046.97",Finance,2022-07-08
CUST-000084,Thomas,Smith,59,24.7,RENT,"$105,308.38",Manufacturing,2022-01-17
CUST-000085,Linda,Jackson,55,0.7,MORTGAGE,"$52,356.02",Public Sector,2022-01-19
CUST-000086,John,Thomas,35,1.6,MORTGAGE,"$36,505.43",Education,2022-08-07
CUST-000087,John,Jackson,62,2.5,RENT,"$43,600.88",Manufacturing,2022-11-22
